,OrganizationName,OrganizationDescription
519,Hispanic Finance Association,Hispanic Finance Association is established for the purpose of increasing Hispanic representation in high finance roles and inspiring character in the next generation of leaders in finance.
520,Hispanic Public Relations Student Association,"The purpose of Hispanic Public Relations Student Association is to promote diversity and inclusion by creating an environment where every member feels like they belong. The purpose of this organization is to advance the practice of Hispanic public relations as a marketing discipline; to serve as the voice for students who will soon be working in the Hispanic communications field nationwide; to empower its members through support, resources and education; and to offer guidance and assistance to students pursuing careers in the field. This organization focuses on Hispanic culture specifically in the field of public relations."
521,Hispanic Student Association,"The Hispanic Student Association serves as the go-to organization for Hispanic and non-Hispanic students wishing to learn more about Hispanic-Latinx culture and connect with the Hispanic-Latinx community at UF, as well as throughout Gainesville. HSA puts together a wide variety of cultural, social, and educational events that are designed to celebrate the many cultures of the Hispanic-Latinx people. Some events focus on purely cultural aspects, such as music, literature, and dance. Other events provide forums for discussion on various issues that face Hispanic and Latinx people in the United States and abroad. HSA is a diverse organization; therefore, its programming is equally diverse. Through HSA, you will be able to develop professionally, personally, and culturally to become a more well-rounded and aware leader. First and second year students, as well as first-year-Transfer students, have the opportunity to join the Member Leadership Program (MLP), HSA’s premier leadership development program. In addition, HSA has over twenty affiliated organizations - each with its own specific mission - that are complementary to HSA's programming and enhance the opportunities for students to get involved on campus. 

Our Affiliate Organizations are:

Argentine Student Association (ArSA)

Argentine Tango Club (ATC)

Association of Latino Professionals for America (ALPFA)

Brazilian Student Association (BraSA)

Central American Latino Organization (CALOR)

Cuban American Student Association (CASA)

Dominican Student Association (DSA)

Ecuadorian Culture and Heritage Association (ECHA)

Gator Salsa Club

Hispanic Communicators Association (HCA)

Hispanic Public Relations Student Association (HPRSA)

Latino Medical Student Association (LMSA)

Mexican American Student Association (MASA)

National Association of Hispanic Journalists (NAHJ)

Peruvian American Student Society (PASS)

PorColombia

Sabor Latino

Society of Hispanic Professional Engineers (SHPE)

Union De Estudiantes Puertoriqueños Activos (UEPA)

Venezuelan Student Association (VENSA)"
522,Hispanic Student Culture Organization,"The purpose of the H.S.C.O. is as follows: The Hispanic Student Culture Organization’s mission is to celebrate Hispanic culture through educational, musical, and athletic events. We focus on traditions from Central and South America and the Caribbean through hispanic heritage celebrations year round. The purpose of H.S.C.O. is to empower Hispanic individuals in the workforce. We want to celebrate, educate, and welcome hispanic as well as non-hispanic students who to learn what it means to have that hispanic culture and understand what it means for them in their future."
523,Hispanic Student Dental Association,"Empowering Hispanic individuals in dentistry, this is our passion and purpose. Hispanic and Latino people represent a minority on the providing and receiving end of health care. The Hispanic Dental Student Association (HSDA) at the University of Florida aims to improve oral and overall health outcomes for Hispanic and other underserved communities and advocating for an increase in under-represented minorities in the dental profession. HSDA at UF is committed to educating and encouraging fellow hispanic and non-hispanic colleagues to participate in the rich culture of Hispanics and Latinos. UF HSDA aspires to spread the incandescent spirit of Hispanic and Latino people at UFCD, in the city of Gainesville, and everywhere."
524,History Graduate Society,"The purpose of the University of Florida's History Graduate Society is to support graduate students in their course work, teaching, research, and writing processes as they pursue higher degrees in the field of history. HGS also strives to work in an inter-disciplinary manner with other scholastic areas of study throughout both UF's campus and beyond."
525,Hooked to the Book Club,The purpose of Hooked to the Book Club is to unite a group of like-minded individuals through a common interest. We plan to bring people together through a love for books and to inspire a greater love for reading in those who are interested. This organization will get people to discuss popular books and expand the horizons of book lovers along with increasing the amount of leisure reading done by UF students who need stress relief.
526,HOOPZ,"HOOPZ aims to create a safe and socially-distanced space on campus for students to decompress, exercise, and socialize. HOOPZ will meet at Plaza of the Americas on a weekly basis and provide weighted hula hoops for members to use in socially distanced exercise, while prioritizing interpersonal connection and inclusivity between members."
527,Hopeful Hearts Pediatrics,"To organize special events for the pediatric unit of UF Health Shands Hospital. These events will create an uplifting, cheerful atmosphere for in-patients and provide support for patients’ families and loved ones. Our events will be centered around the current month’s holidays and/or themes."
528,Hospitaliteam,"Hospitaliteam is a student-run volunteering and community service organization benefiting UF Health Shands. The purpose of Hospitaliteam is to provide hospitality services and nonmedical welcoming services for adult patients in the Shands Hospital. Our mission is to provide kindness and a warm welcome to patients who may be feeling isolated and disconnected from the rest of the world. We hope to provide them with fun, comfort, and compassion during their stay to ensure that their nonmedical needs are cared for. We will be working with underserved patients in the Shands Hospital, primarily including adult in-patient populations who are not reached by other student organizations on campus. Our weekly volunteer shifts will be dedicated to providing hospitality items to inpatients in the Internal Medicine Adult Patient units, including leisure items and personal hygiene items from our Hospitality Cart."
529,Human Factors and Ergonomics Society Student Chapter,"The University of Florida HFES Student Chapter is organized to serve the needs of the human factors profession at the University of Florida. Its purpose is to promote and advance the understanding of the human factors involved in the design, manufacture, and use of machines, systems, environments and devices of all kinds through the interchange of knowledge and methods in the behavioral, biological, and physical sciences and in industrial, computer science and other relevant engineering disciplines."
530,Hungarian Club,"The purpose of this club is to explore and foster Hungarian language, culture, and history. It seeks to unite people with Hungarian background or interest in Hungarian culture and get to know each other better outside the classroom."
531,IEEE-ITSS,"The purpose of the IEEE-ITSS is to advance “the theoretical, experimental, and operational aspects of Electrical Engineering and Information Technologies as applied to intelligent transportation systems (ITS)”;  means to these ends include, but are not limited to, the holding of meetings for the presentation and discussion of professional papers, the publication and circulation of works of literature, science and art pertaining thereto and any other activities necessary, suitable and proper for the fulfillment of these objectives.
professional, directed toward the advancement of the standing of the members of the professions it serves; means to this end include, but are not limited to, the conduct and publication of surveys and reports on matters of professional concern to the members of such professions, collaboration with public bodies and with other societies for the benefit of the engineering professions as a whole and the general public, and the promotion of ethical conduct."
532,Immigator,"The purpose of this organization is to educate and advocate for students who are and were
classified as American-raised foreign nationals. Specifically, we will be advocating for
immigrants whose citizenship is with another country, but grew up in America and is struggling
to, or waiting for a green card as they approach the age of 21. This is the point by which they
“age out” and are no longer valid American immigrants under their parent’s status. However, we
are indiscriminate in serving immigrants, as our main goal is to enrich the experience of any
foreign national who attends the university. We strive to provide guidance for students at the
university who may be restricted from certain academic, social, and professional activities due to
their immigration status. In the future, we hope to reach out to organizations and/or advocate for
the removal of restrictions that bar these immigrant students from obtaining the same
opportunities as anyone else."
533,IMPACT Autism,"Our mission is simple: to utilize the volunteerism, passion, and leadership of University of Florida students to directly IMPACT the lives of those in the community affected by autism. Our organization accomplishes this goal by creating volunteer opportunities for university students, promoting autism awareness through education, and fundraising to support the local autism community."
534,Impacto,"A significant number of Hispanic immigrants in Gainesville are not proficient in English, which limits their freedom, agency, and mobility within the United States. To promote integration, Spanish-speaking students can use their language skills to reach their community and make an impact.
 
Impacto seeks to recruit and train Spanish-speaking UF students to teach basic English to the non-English-speaking Hispanic community in Gainesville. In doing so, the University of Florida can directly aid the Hispanic immigrant community in integrating to the United States. As the University of Florida has a substantial Hispanic-American student population, we can help bridge the gap in language-learning in Gainesville and Alachua and break barriers that impede the Hispanic immigrant community's agency."
535,Indian Graduate Student Association,"The organization helps showcase Indian culture and heritage to the UF and the local Gainesville communities through cultural events, festivals and other recreational activities. It's purpose is to serve as a home away from home for the Indian graduate students, primarily of international student status, and ensure a positive contribution from its members towards UF and the local Gainesville community."
536,Indian Students Association,We are an organization that focuses on raising awareness of the Indian culture and providing a community for individuals to discover their identity here on campus.
537,Indo-Caribbean Student Association,The purpose of this organization is to be inclusive of sub-cultures within the South Asian and Caribbean communities and provide a space where Indo-Caribbean students can proudly display and learn more about their cultural heritage and identity.
538,Industrial / Organizational Psychology Club,"We provide resources for students who are interested in the people side of businesses. Industrial/Organizational Psychology Club suggests valuable networking opportunities, strategies, and professional development methods in the business and applied psychology field. Industrial/Organizational Psychology club is also open to UF and Santa Fe College students who are interested in management, human resources, or organizational behavior."
539,Industrial and Systems Engineering Ambassadors,"The mission of the ISE Ambassadors is to foster an inclusive community of students, faculty, administration, and alumni while continuously improving the Department of Industrial and Systems Engineering at UF."
540,Industrial and Systems Engineering Graduate Student Organization,"The ISEGSO is focused on improving the graduate experience within the University's Herbert Wertheim College of Engineering’s Industrial and Systems Engineering Department. 

It is meant to help coordinate ISE graduate students with the ISE department faculty, with the EGSC and with each other.

Our goals are to increase social connectivity within the department, facilitate research collaboration between disparate labs, aid in the onboarding process for new students, contribute academic support for existing students, assist in professional development for departing students, collaborate with department faculty and the EGSC to improve recruitment results and provide a chain of elevation for student concerns both within our department and college."
541,Industry Pharmacists Organization Orlando Student Chapter,Advance the knowledge of Industry Pharmacy and promote the expansion of the Pharm.D degree
542,Institute for Operations Research and Management Sciences,"INFORMS is an Industrial & Systems Engineering student organization that focuses on research, applications, and opportunities for continued education in Operations Research and Management Sciences."
543,Institute of Electrical and Electronics Engineers,IEEE's purpose shall be to develop students preparing to enter a technological field both professionally and technically.
544,Institute of Industrial & Systems Engineers,"The Institute of Industrial and Systems Engineers is the world’s largest professional society dedicated solely to the support of the industrial engineering profession and individuals involved with improving quality and productivity. Founded in 1948, IISE is an international, nonprofit association that provides leadership for the application, education, training, and research of industrial engineering.

The mission of IISE at the University of Florida is three-fold:

To foster and promote community and professionalism among UF Industrial and Systems Engineering (ISE) students
To connect corporate recruiters with the UF ISE student body
To help UF ISE students recognize the breadth of post-graduation career opportunities"
545,Institute of Transportation Engineers,The purpose of Institute of Transportation Engineers is to promote the advancement of the transportation and traffic engineering profession by fostering the close association of students within the profession at the University of Florida as well as other universities across the nation.  The student organization also provides supplemental education about the professional practice of transportation engineering by inviting lecturers and speakers from the industry and other universities.
546,Intellectual Property and Technology Law Association,IPTLA provides a forum for students interested in intellectual property and technology law to socialize and learn more about the field and career opportunities. The club hosts social and professional events.
547,INTERFRATERNITY COUNCIL,The Interfraternity Council sets out to develop young university men as leaders and role models on the University of Florida campus.
548,International Engineering Ambassadors,"The International Engineering Ambassadors (IEA) is a group of diverse students comprising engineering students at UF, both Americans and international, undergraduate and graduate, with a common goal: to promote the internationalization of Gator Engineering. IEAs at UF are young leaders who are globally-minded and culturally-aware who have a passion for promoting meaningful exchanges with people from a wide range of different cultures and traditions.

The IEA Program selects students based on its emphasis on developing cultural understanding, multilingualism, and global engagement across a broad range of subjects.

The roles of IEAs are multi-faceted. IEAs welcome new international students and help them adjust to life at University of Florida. They serve as peer mentors by assisting international students with their academic, cultural, and social adjustment to the United States and UF. In addition to that, IEAs who have had an international experience, such as study abroad, internship, research or service work in a foreign country assist the International Programs Coordinator in hosting info sessions regarding international opportunities and serve as academic and cultural advisors to students headed overseas. IEAs also frequently share their experiences abroad through info sessions, newsletters and peer advising.

Responsibilities
The IEA position is a yearlong commitment. Applications are submitted at the beginning of the fall semester in August and continue throughout the academic year. A certificate of appreciation will be awarded to IEAs at a special ceremony at the end of the academic year.

International Engineering Ambassadors:

Assists in planning and participates in the International Engineering Students orientation in August to welcome new international engineering students to UF. Responsibilities may include setting up event facilities, checking in students, giving a campus tour, hosting programs and workshops and assisting students with logistical questions
Maintain contact with an assigned group of new international students throughout the year
Assists in planning and participates in info sessions and study abroad fairs on international opportunities
Provide mentoring and advice to students headed overseas. (IEAs will be paired with students headed to the same country or region.)
Welcome CoE visitors, such as prospective international students or foreign representatives
Provide feedback to USA staff on programs and student concerns"
549,International Justice Mission Student Chapter,"International Justice Mission (IJM) Student Chapter works to fight against injustice and oppression in the world in the following ways: praying for the IJM staff and the victims of injustice, fundraising to support IJM’s work, and participating in activities to spread awareness about human rights abuses."
550,International Mentorship Association,"The International Mentorship Association’s mission is to ease the cultural shock and smooth the transition for freshman international students by assigning them mentors who will help them get involved in campus and assimilate parts of the US-American culture and the UF traditions. Moreover, it shall ensure that international students know the basic fundamental duties as a student and adult at the University of Florida and in the United States of America. Mentors will receive a multicultural exchange experience learning about other countries and cultures, as they are preferred by them and allowed by the pairing process. The program targets international students, but the mentors can be both international or domestic students."
551,International Society for Pharmacoeconomics and Outcomes Research (ISPOR) Student Chapter,"The purpose of the ISPOR Student Chapter is:
•	Provide an environment where students can share knowledge in health economics and outcomes research (HEOR)
•	Serve as a bridge to bring together students interested in the field of HEOR with members of the biopharmaceutical industry, health-related organizations, and academia
•	Act as a resource for new students interested in the field
•	Provide an opportunity for student chapter members to become familiar with and be represented in ISPOR"
552,International Tuba Euphonium Association,"The purpose of this organization shall be: to maintain a liaison among those who take a significant interest in the Tuba/Euphonium family, to promote and improve the image of the Tuba/Euphonium family and its use as a means of artistic expression, to coordinate and co-sponsor Tuba/Euphonium symposiums, and to encourage social communication with tubists and euphoniumists in the area."
553,Inter-Professional Healthcare Coalition Orlando,"Inter-Professional Healthcare Coalition is established for the purpose of integrating the individual professional knowledge acquired between healthcare professionals as part of an interdisciplinary team, and to emphasize and promote academic and professional excellence in the practice of pharmacy. “Our purpose is to move our healthcare system from a state of independently fragmented processes to an interdisciplinary team-based approach focused on patient centered care in an effort to improve patient care”"
554,Inter-Residence Hall Association,"The Inter-Residence Hall Association (IRHA) Is a student organization at the University of Florida that represents all students living on campus. IRHA serves to ensure that all students living in residence halls feel welcome, safe, secure, and part of the UF community. IRHA primarily hosts campus-wide events and activities to help build community and advocates for residence hall improvements to improve the quality of life on campus. Beyond this, IRHA facilitates the twelve residence hall Area Governments at UF and represents residents to UF Housing and Residence Life."
555,Intervarsity Christian Fellowship,"Establishing witnessing communities in love for God, God's Word, God's people, and God's purposes in the world."
556,Involvement Team,#involvedUF
557,IoT Students Club,"IoT Students Club, an affiliated organization with the Warren B. Nelms Institute for the Connected World, promotes the advancement of the Internet of Things (IoT) among the undergraduate and graduate populations at the University of Florida. Our organization encompasses all areas of the Internet of Things addressing many of the world’s problem, including but not limited to public health, energy, education, and transportation. In this way, our student members can contribute towards creating secure, efficient, and connected communities. We host a national IoT Design Competition to showcase the IoT technology from student participants and their impact to our world. In addition, our organization provides workshops and training to students by partnering with IoT faculty and industry experts. Through our activities, IoT Students Club seeks to encourage student participation in the application of IoT technology to solve real-life problems to further create awareness about the enormous prospect of what IoT technology brings to our world."
558,IOTA PHI THETA,"To develop and perpetuate scholarship, leadership, citizenship, fidelity and brotherhood among men; to engage in cultural,
educational and service activities that will provide economic, scholastic and social enrichment, particularly for people of color; and to prepare the brotherhood of the Fraternity for future leadership and professional advancement opportunities through networking, training and development."
559,Iranian Students Association,"The Iranian Students Association is a non-political & non-religious organization open to all members of the University of Florida community. We stand to promote Iranian and Iranian-American culture through the eyes of leadership, companionship, & mentorship. Our organization values its connection with members & strives to provide an accepting community with social events, cultural gatherings, & academic opportunities. We hope that you can find your community with us & we look forward to welcoming you into our organization."
560,Islam Appreciation Month Committee,"Islam Appreciation Month Committee is an organization that hosts events one month out of the school year to educate on Islamic topics including, but not limited to, Islamic beliefs, traditions, history, and lifestyle."
561,Islam on Campus,Islam on Campus is an organization devoted to strengthening the Muslim community as well as to educating Muslims and non-Muslims alike about the religion of Islam. We seek to be a source of unity for Muslim students here at the University of Florida.
562,Italian Student Association,"The Italian Student Association promotes knowledge of the Italian culture and language, to members of the University of Florida and the community."
563,Jamaican-American Student Association,"The Jamaican-American Student Association at the University of Florida strive to promote multi-cultural awareness and acceptance of the Jamaican /Jamaican-American culture through various philanthropic efforts, forums, programs and social events to educate the students, faculty and staff of the University of Florida and the general public."
564,Japanese Club,"The Japanese Club exists to create a 'bridge' between the US and Japan. We strive to understand each other’s cultures and we do this through lectures, socialization, and special events (ie: The Annual Spring Festival). It is also a great way to extend your network of friends from just those in the classroom. And of course, people not taking Japanese are welcome."
565,Japanese Student Association,JSA exists to promote Japanese culture and overwrite stereotypes while also pushing for Asian American diversity. JSA will inform students at the University of Florida about the intersectionality between the Japanese and American identities through historical and cultural activities.
566,Jewish Law Student Association,"JLSA provides an outlet for Jewish law students to engage in Jewish activities, meet and interact with other Jewish law students, develop peer relations, and network within the Jewish law community. Members also explore the connection between the study of the American legal system and Jewish ethics and law. JLSA promotes Jewish identity and culture through lunch and learns, Shabbat dinners, and other events."
567,Jewish Student Union,JSU represents and serves the Jewish students at the University of Florida while providing Jewish and other students opportunities to explore the cultural and ethnic experiences of Judaism.
568,Jewish Veterinary Student Society,"The purpose of JVSS is to foster a community between veterinary students, faculty, and staff, and to create a space where people can share their faith and culture."
569,Jewish Voice for Peace,"The purpose of this organization is to advocate to a peaceful end to the Israeli-Palestinian conflict; to educate students, faculty, staff, and communities about the historical and present conditions of the conflict, including the crime against humanity of apartheid being inflicted on the Palestinian people; and to create Jewish spaces and celebrate Jewish culture in an anti-Zionist context."
570,JHealth,"Olami JHealth is a community of Jewish Undergraduate Pre-Health students. offering mentorship, internships, and career development opportunities rooted in Jewish values. Olami JHealth aims to help every student learn and grow professionally, personally, and spiritually throughout their time on campus and beyond."
571,John Marshall Bar Association,"JMBA’s purpose is to enrich the lives and experience of law students through social events, networking, community service and outreach events."
572,John Quincy Adams Society,"The John Quincy Adams Society functions as a hub for students interested in international relations, foreign policy, and all subjects on the periphery of international politics. Through activities including (but not limited to) open discussion, guest speakers, and mentorships, a collaborative environment for our members to further integrate themselves in the world of international relations is curated. The JQAS endorses the viewpoint of restraint and conflict aversion towards relevant topics but does not exclude students with differing perspectives from discussions and club activities."
573,Journalism and Communications Ambassadors,The Journalism and Communications Ambassadors are dedicated to promoting high standards of excellence in the University of Florida's College of Journalism & Communications by giving all students access to opportunities for both academic and personal development.
574,JTech,"Olami JTech is a community of Jewish Undergraduate Pre-Professional tech/engineering students, offering
mentorship, internships, and career development opportunities rooted in Jewish values. Olami JTech aims to help
every student learn and grow professionally, personally, and spiritually throughout their time on campus and
beyond."
575,KAPPA ALPHA ORDER,"Kappa Alpha Order was founded in 1865 and brought to the University of Florida in 1904 to help young men learn what it means to be a gentleman and a leader. Our Motto translates to, ""For God and the Ladies,"" and we believe that manner in which men treat women is at the utmost importance."
576,KAPPA ALPHA PSI,Achievement in every field of human endeavor.
577,KAPPA ALPHA THETA,"Yesterday, today, and tomorrow Kappa Alpha Theta exists to nurture each member throughout her college and alumnae experience and to offer a lifelong opportunity for social, intellectual, and moral growth as she meets the higher and broader demands of mature life."
578,KAPPA DELTA,"The purpose of Kappa Delta Sorority is to promote true friendship among the college girls of our country by inculcating into their hearts and lives those principles of truth, of honor, of duty, without which there can be no true friendship."
579,Kappa Delta Pi,"Kappa Delta Pi strives to give students interested in the field of education the opportunity to enhance their professional development skills, give back to their community, and build meaningful relationships with other students at the University of Florida."
580,Kappa Epsilon Beta Alpha Chapter - Jacksonville,"The purposes of this organization shall be to unite pharmacy students, faculty, and alumni dedicated to empower its members to achieve personal and professional competence, to develop leaders within the profession and community, and to provide professional and philanthropic services."
581,Kappa Epsilon: Beta Beta Chapter Orlando,"The mission of Kappa Epsilon is to empower its members to achieve personal and professional fulfillment by developing their confidence, self esteem, interpersonal skills and leadership vision; and represent the interest of the members to health-care professionals and the community at large."
582,Kappa Epsilon: Kappa Chapter,"The mission of Kappa Epsilon is to unite pharmacy students, faculty, and alumni dedicated to empower its members to achieve personal and professional competence, to develop leaders within the profession and community, and to provide professional and philanthropic services."
583,KAPPA KAPPA GAMMA,"Kappa Kappa Gamma is an organization of women which seeks for every member throughout her life bonds of friendship, mutual support, opportunities for self growth, respect for intellectual development, and an understanding of and an allegiance to positive ethical principles."
584,Kappa Kappa Psi,We serve the college band programs through the performance of exceptional music and service of worthwhile projects.
585,Kappa Omicron Nu: Nu Alpha Omicron Chapter,"Kappa Omicron Nu is a national honor society certified by the Association of College Honor Societies. Our mission is to promote empowered leaders through excellence in scholarship, leadership and research in the Human Sciences. As an academic framework, the Human Sciences provide multidisciplinary education, research, and service focused on individuals, families, communities, and their health and environments for the purpose of improving and enhancing the human condition. The Human Sciences signify a commitment to improving social justice and developing more desirable relations in communities, organizations, and the wider society for the benefit of all. Through the FYCS Chapter of Kappa Omicron Nu, we will promote professional development opportunities through the following activities: grant writing opportunities, funding opportunities, and support for undergraduate journal submissions."
586,Kappa Phi Epsilon,The mission of Kappa Phi is to provide Christ-centered brotherhood to college men. We exist on campus to be a social fraternity that loves Jesus and glorifies him.
587,KAPPA PHI LAMBDA,"We, the sisters of the Kappa Phi Lambda Sorority, Inc., strive to strengthen Sisterhood amongst women by providing Service and promoting Cultural Diversity to our members and our community, thus securing the bond of kinship for posterity. Kappa Phi Lambda exists to further educate individuals about Pan-Asian culture, while keeping our own identities. We aim for academic excellence, keeping in mind the importance of education and learning as the key to strength, awareness, and fulfillment."
588,Kappa Psi - Epsilon Mu - Orlando,Fellowship. Industry. Sobriety. High Ideals.
589,Kappa Psi - Zeta Gamma Chapter Jacksonville,To  develop pharmacy leaders with a passion for service to the community while creating lifelong professional connections.
590,"Kappa Psi Pharmaceutical Fraternity, Inc. Gamma Sigma Chapter","Kappa Psi Pharmaceutical Fraternity is the oldest and largest pharmacy fraternity with a mission to develop leaders with a passion for service to their community while creating lifelong professional connections. Once a brother of Kappa Psi, you become a brother for life. Our fraternity aims to uphold the values of Fellowship, Industry, Sobriety, and High Ideals."
591,KAPPA SIGMA,"To promote the ideal of brotherhood and build better men through fellowship, scholarship, leadership, and service."
592,Kickboxing and Boxing Club,"We aim to provide our members (no matter what experience level) with a free, safe, and friendly workout environment that incorporates the techniques of boxing, kickboxing, and Muay Thai. 

To begin, visit: https://plus.ufkickboxing.club/join
To be a part of our organization, please sign a waiver by following this link: https://orgs.studentinvolvement.ufl.edu/Forms/sport-clubs"
593,Knitting Gator,"We are a group of students interested in knitting or crocheting together to take our minds off of our studies for a little while and just have fun! We are always looking for new members to join, and we are more than happy to teach any novices the craft! We have extra yarn and needles although we do encourage for others to bring their own in case they want to work on their project at home. For updates please check out the facebook page!"
594,Korean Language Table,To provide a positive and supportive learning environment wherein Korean language learners are encouraged to speak Korean with other learners and native speakers.
595,Korean Student Association,"The Korean Student Association (KSA) is an organization where mainly graduate students from more than 30 different departments gather and share information with each other. Maintaining transparent and fair management of the student council, we aim to build a firm Korean social network - from now own, embracing undergraduate students, postdocs, faculty members, and even local Gainesville residents. The passionate executives work together to establish KSA membership and serve diverse opportunities."
596,Korean Undergraduate Student Association,The purpose of the Korean Undergraduate Student Association is to provide an avenue for students with common interests in Korean culture to come together. We serve as a cultural and social organization that acts as a resource to educate and promote the culture and history of Koreans and Korean Americans. Our goal is to unite the Korean/Korean American community and promote the visibility of Koreans and Korean Americans on campus as well as in the greater society.
597,LADIES,"LADIES strives to positively enhance the well-being of young women in local middle schools and high schools through mentorship. We guide them on their journey to success and help them reach their fullest potential. We also strive to help the surrounding Gainesville community through community service, activism, and advocacy."
598,LAMBDA CHI ALPHA,"Lambda Chi Alpha Fraternity is one of the three largest men’s general fraternities in North America with more than 275,000 initiated members and nearly 200 active chapters at colleges and universities. It was the first fraternity to eliminate pledging in the early 1970s, and remains a leader in the fight against hazing, alcohol abuse, drugs, and other challenges facing today’s college student.

Lambda Chi Alpha serves as a co-curricular experience to complement higher education by providing young men with opportunities for academic achievement, leadership development, and lifelong friendships. ZAX."
599,LAMBDA THETA ALPHA,"Lambda Theta Alpha Latin Sorority, Inc. is a philanthropic, academic based sorority dedicated to scholarly excellence, empowerment of Latinas and the universal woman, cultural and political awareness, and community activism. Since our establishment in March of 1996, Chi Chapter has made great strides at the University of Florida. We are very proud of our accomplishments thus far and are positive that our chapter will continue to be trailblazers in the years to come."
600,LAMBDA THETA PHI,"The purpose of Lambda Theta Phi Latin Fraternity, Inc. is to to promote and respect all cultures and creeds, to maintain a high standard of learning, to develop character, to practice chivalry while upholding dignity and self-identity, to assert positive leadership while serving as role models, to serve as a source of support for students and professionals, to promote Latin unity, and to make students and professionals aware of their responsibilities to the community."
601,Lasya,"The purpose of Lasya is to blend different Indian cultures and backgrounds through dance and display it through a fusion of Bollywood, contemporary, and classical dancing. The team is focused on spreading happiness and growing together through dance. We don’t seek experienced dancers, but rather we seek people who just want to dance to relax, reduce stress, present their talent and stay close to their roots. Our mission is to practice dance as a social outlet for bringing students together."
602,Latin American Women in Business,The purpose of LAWIB is to empower Latin American women business students across the University. We want to promote business studies and experiences in the workplace for female students with a Latin American heritage.
603,Latin Finance Association,"Latin Finance Association is established for the purpose of promoting industry insights and networking through guest speakers, meetings, and networking events."
604,Latino Law Student Association,"LLSA is an organization dedicated to providing a means for members to grow academically and professionally while fostering, promoting, appreciating, and bringing awareness of the Latin culture."
605,Latino Medical Student Association (Undergraduate Chapter),"The purpose of Latino Medical Student Association (LMSA) is to address the health needs of the Latino community, as well as to promote the interests and support those students who identify themselves as Latino pre-health students of the University of Florida through social, cultural, educational, professional and other activities."
606,Latinx Organization for Graduate Students,"The Latinx Organization for Graduate Students (LOGRAS) is an interdisciplinary, multi-ethnic organization that is dedicated to identifying and addressing the needs of graduate and professional students of Latinx or Hispanic descent at the University of Florida. LOGRAS aims to enhance the graduate experience of its members by offering social, academic and professional support, in order to cultivate professional development and academic excellence. Additionally, we are committed to fostering cultural diversity by promoting the recruitment, retention, and representation of minority students and faculty. Lastly, LOGRAS seeks to unify graduate students across disciplines and organizations of Hispanic or Latinx backgrounds, while promoting the development of lifelong networks among students at the University of Florida."
607,Latinx Veterinary Medical Association Student Chapter,Our purpose is to empower Latinx/Hispanic students and professionals in veterinary medicine and support aspiring Latinx/Hispanic veterinarians to better serve client demographics or “the next generation of Latinx/Hispanic veterinarians”. To provide a network for Latinx/Hispanic veterinary students and Increase visibility of Latinx/Hispanic veterinarians and veterinary students. Create networking opportunities for Latinx/Hispanic veterinary professionals and students.
608,Latter-Day Saints Student Association,"To provide activities and faith building experiences that enhance the academic experience for students, who are affiliated or desire association with the Church of Jesus Christ of Latter-Day Saints."
609,Law Association for Women,"The Law Association for Women (L.A.W) is a professional, social, and academic student organization with the mission of creating and fostering an environment for the female law student population at the University of Florida Levin College of Law."
610,Leadership Development Institute,The purpose of the Leadership Development Institute is to dedicate time to the progression of freshman leaders on the University of Florida campus. Members create and run their own programs and events with minimal assistance from the executive powers in an effort to learn the elements of leadership.
611,League of Women Voters,"The purpose of the League of Women Voters is to inform University of Florida students on the issues the League supports. The League of Women Voters also provides information to students on how to vote, where to vote, and what is on the ballot."
612,LEAP,"LEAP’s primary purpose is to assemble mentorship pairs for students with majors declared in the College of Public Health and Health Professions. Underclassmen mentees and upperclassmen mentors are paired for the entirety of the school year. Mentors are expected to warmly encourage and assist their mentees to cultivate their academic and extracurricular experiences; examples of such avenues include volunteering, internships, research, etc. Furthermore, PHHP requires students to apply to their respective major during their sophomore year, so one of the salient parts of LEAP mentorship involves mentors supporting their mentees through this application process. 
In addition to mentorship through mentor-mentee pairs, LEAP will host professional development events to enrich the academic and professional growth of its members. LEAP will also host socials so members may engage with each other and network with other pre-health students. Through the aforementioned meet-ups, socials, and professional development events, all members receive the opportunity to both learn and instruct. Neither action is restricted to either party; rather, LEAP strives to assemble relationships within the greater whole of the PHHP student body."
613,Lebanese American Society,"The Lebanese American Society at the University of Florida aims to provide an open atmosphere for individuals interested in learning about Lebanese culture, customs, history, and language. In addition, the LAS aims to emphasize the role of Americans descending from Lebanese origins."
614,Liberty in North Korea,"Liberty in North Korea is established for the purpose of fundraising money for Liberty in North Korea 501(c)3 used for rescuing and resettling North Korean refugees, empowering refugees to support their success upon resettlement, shifting attention from North Korea’s dictatorship towards the North Korean people’s resiliency, and growing the movement for the North Korean people’s freedom."
615,LIFE on Campus,"By constructing an atmosphere where students can peacefully express their thoughts, feelings, and perspectives in a creative and artistic manner, student peers will be able to view another artist’s position on faith through the art they create."
616,Liquid Propulsion Development Team,"The Florida Rocket Lab specializes in liquid rocket propulsion systems. We are working to become the first undergraduate team to launch and land a liquid-propelled rocket capable of generating 500 lbs of thrust. To achieve this goal, we have designed a hopper system we hope to iteratively improve using feedback from industry design reviews and months of student testing. We will be using this design to represent the University of Florida in the first-ever Collegiate Propulsive Lander Competition."
617,Living Poet's Society,"The Living Poets Society seeks to create a space where students can come together to write, workshop their writing, and support the arts in Gainesville, with a specific focus on poetry."
